month,case_count
2017-01-01,257
2017-02-01,377
2017-03-01,487
2017-04-01,318
2017-05-01,282
2017-06-01,317
2017-07-01,317
2017-08-01,310
2017-09-01,496
2017-10-01,339
2017-11-01,477
2017-12-01,476
2018-01-01,270
2018-02-01,381
2018-03-01,443
2018-04-01,259
2018-05-01,305
2018-06-01,225
2018-07-01,225
2018-08-01,283
2018-09-01,396
2018-10-01,231
2018-11-01,306
2018-12-01,398
2019-01-01,216
2019-02-01,381
2019-03-01,443
2019-04-01,259
2019-05-01,305
2019-06-01,463
2019-07-01,225
2019-08-01,283
2019-09-01,396
2019-10-01,231
2019-11-01,306
2019-12-01,398
2020-01-01,138
2020-02-01,201
2020-03-01,266
2020-04-01,35
2020-05-01,109
2020-06-01,146
2020-07-01,80
2020-08-01,88
2020-09-01,190
2020-10-01,80
2020-11-01,121
2020-12-01,168
2021-01-01,71
2021-02-01,94
2021-03-01,205
2021-04-01,100
2021-05-01,70
2021-06-01,127
2021-07-01,46
2021-08-01,78
2021-09-01,150
2021-10-01,49
2021-11-01,88
2021-12-01,168
2022-01-01,54
2022-02-01,48
2022-03-01,81
2022-04-01,37
2022-05-01,52
2022-06-01,76
2022-07-01,39
2022-08-01,97
2022-09-01,59
2022-10-01,76
2022-11-01,74
2022-12-01,103
2023-01-01,62
2023-02-01,64
2023-03-01,125
2023-04-01,66
2023-05-01,33
2023-06-01,64
2023-07-01,19
2023-08-01,53
2023-09-01,62
2023-10-01,73
2023-11-01,68
2023-12-01,201
2024-01-01,62
2024-02-01,64
2024-03-01,125
2024-04-01,66
2024-05-01,33
2024-06-01,64
2024-07-01,19
2024-08-01,53
2024-09-01,62
2024-10-01,73
2024-11-01,68
2024-12-01,201
